Pais,qtd_projetos
"('GB',)",27509
"('US',)",257565
"('CA',)",11992
"('NO',)",526
"('AU',)",6236
"('IT',)",1750
"('DE',)",2684
"('IE',)",575
"('ES',)",1372
"('N,""0',)",3790
"('MX',)",214
"('SE',)",1269
"('FR',)",1910
"('NL',)",2259
"('NZ',)",1136
"('CH',)",471
"('AT',)",377
"('BE',)",402
"('DK',)",825
"('HK',)",97
"('LU',)",40
"('14',)",7
"('46',)",3
"('10',)",14
"('0',)",102
"('42',)",3
"('SG',)",119
"('35',)",1
"('780',)",1
"('122',)",2
"('213',)",1
"('2',)",41
"('3',)",45
"('126',)",1
"('73',)",2
"('19',)",8
"('1',)",74
"('142',)",1
"('failed',)",6
"('140',)",1
"('38',)",1
"('24',)",4
"('60',)",2
"('37',)",7
"('29',)",8
"('167',)",1
"('45',)",2
"('23',)",3
"('4',)",28
"('85',)",1
"('9',)",7
"('248',)",1
"('111',)",1
"('18',)",6
"('13',)",8
"('28',)",2
"('40',)",8
"('54',)",2
"('17',)",6
"('20',)",6
"('195',)",2
"('25',)",5
"('72',)",1
"('22',)",6
"('12',)",12
"('158',)",1
"('62',)",1
"('307',)",1
"('31',)",3
"('107',)",2
"('7',)",18
"('110',)",1
"('6',)",12
"('69',)",3
"('68',)",1
"('84',)",3
"('75',)",2
"('119',)",2
"('78',)",1
"('150',)",1
"('77',)",1
"('83',)",1
"('89',)",2
"('16',)",10
"('154',)",1
"('92',)",1
"('11',)",3
"('116',)",2
"('56',)",2
"('136',)",1
"('58',)",2
"('27',)",1
"('26',)",1
"('582',)",1
"('43',)",1
"('5',)",12
"('41',)",3
"('30',)",2
"('177',)",1
"('36',)",1
"('15',)",2
"('49',)",2
"('51',)",2
"('9854',)",1
"('168',)",1
"('8',)",6
"('57',)",2
"('283',)",1
"('61',)",1
"('33',)",1
"('74',)",1
"('157',)",1
"('405',)",1
"('91',)",2
"('174',)",1
"('813',)",1
"('66',)",2
"('52',)",1
"('114',)",2
"('288',)",1
"('109',)",1
"('21',)",2
"('32',)",3
"('169',)",1
"('50',)",5
"('98',)",1
"('483',)",1
"('289',)",1
"('88',)",2
"('124',)",1
"('159',)",1
"('222',)",1
"('65',)",1
"('631',)",1
"('59',)",2
"('53',)",1
"('117',)",1
"('197',)",1
"('successful',)",2
"('70',)",1
"('55',)",3
"('108',)",2
"('63',)",1
"('732',)",1
"('93',)",1
"('162',)",1
"('2015-09-10 18:15:45',)",1
"('39',)",1
"('34',)",2
"('284',)",1
"('170',)",1
"('238',)",1
"('246',)",1
"('2001',)",1
"('608',)",1
"('144',)",1
"('99',)",1
"('71',)",1
"('229',)",1
"('338',)",1
"('81',)",1
"('176',)",1
